"sitecode","wrspath","wrsrow","do_tc"
"BBS","123","064",FALSE
"BBS","124","064",TRUE
"BBS","124","063",TRUE
"BBS","125","063",TRUE
"BCI","012","053",TRUE
"BCI","012","054",TRUE
"BIF","172","061",TRUE
"BIF","173","061",TRUE
"BIF","173","060",TRUE
"CAX","225","061",FALSE
"CAX","225","062",FALSE
"CAX","226","061",FALSE
"COU","003","068",FALSE
"COU","003","069",TRUE
"COU","004","068",TRUE
"COU","004","069",TRUE
"COU","005","068",TRUE
"CSN","229","056",FALSE
"CSN","229","057",TRUE
"CSN","229","058",TRUE
"CSN","230","057",TRUE
"CSN","230","058",FALSE
"KRP","187","056",TRUE
"KRP","187","057",TRUE
"MAS","230","061",FALSE
"MAS","230","062",FALSE
"MAS","231","061",FALSE
"MAS","231","062",FALSE
"MAS","232","061",FALSE
"NAK","127","047",TRUE
"NAK","127","048",TRUE
"NAK","128","047",TRUE
"NNN","181","058",FALSE
"NNN","181","059",FALSE
"NNN","182","058",FALSE
"NNN","182","059",FALSE
"PSH","127","057",TRUE
"PSH","127","058",TRUE
"PSH","126","058",TRUE
"RNF","158","075",TRUE
"RNF","159","075",TRUE
"RNF","159","074",TRUE
"UDZ","167","065",TRUE
"UDZ","167","066",TRUE
"UDZ","168","065",TRUE
"UDZ","168","066",TRUE
"VB","014","053",TRUE
"VB","015","053",TRUE
"VB","015","052",TRUE
"YAN","006","068",TRUE
"YAN","006","067",TRUE
"YAN","007","067",TRUE
"YAS","008","061",FALSE
"YAS","008","060",FALSE
"YAS","009","061",FALSE
"YAS","009","060",FALSE
