Site.Name.Code,Site.Name,Site.Name.Short,Site.Type,Site.Country,Site.Continent
BBS,Bukit Barisan,Bukit Barisan,II,PAN,LA
BCI,Barro Colorado Nature Monument - Soberania National Park,Barro Colorado - Soberania,II/III,IDN,AS
BIF,Bwindi Impenetrable Forest,Bwindi,III,UGA,AF
CAX,Caxiuanã,Caxiuanã,I,BRA,LA
COU,Cocha Cashu - Manu National Park,Cocha Cashu - Manu,I,PER,LA
CSN,Central Suriname Nature Reserve,Central Suriname,I,SUR,LA
KRP,Korup National Park,Korup,II,CMR,AF
MAS,Manaus,Manaus,II,BRA,LA
NAK,Nam Kading,Nam Kading,III,LAO,AS
NNN,Nouabalé Ndoki,Nouabalé Ndoki,I,COG,AF
PSH,Pasoh Forest Reserve,Pasoh,III,MYS,AS
RNF,Ranomafana,Ranomafana,III,MDG,AF
UDZ,Udzungwa,Udzungwa,II,TZA,AF
VB,Volcán Barva,Volcán Barva,III,CRI,LA
YAN,Yanachaga Chimillén National Park,Yanachaga Chimillén,I,PER,LA
YAS,Yasuni,Yasuni,I,ECU,LA
